AT,01-01-2018 13:00,7618
BA,01-01-2018 13:00,1518
BE,01-01-2018 13:00,8755
BG,01-01-2018 13:00,3477.25
CH,01-01-2018 13:00,7491
CY,01-01-2018 13:00,385
CZ,01-01-2018 13:00,6517
DE,01-01-2018 13:00,48286.55
DK,01-01-2018 13:00,4140.7
EE,01-01-2018 13:00,946.4
ES,01-01-2018 13:00,23892
FI,01-01-2018 13:00,10847.29
FR,01-01-2018 13:00,54742
GB,01-01-2018 13:00,42188.82
GR,01-01-2018 13:00,5106.51
HR,01-01-2018 13:00,1870
HU,01-01-2018 13:00,4203.53
IE,01-01-2018 13:00,3442.17
IS,01-01-2018 13:00,2177.72
IT,01-01-2018 13:00,25894
LT,01-01-2018 13:00,1236
LU,01-01-2018 13:00,523
LV,01-01-2018 13:00,766
ME,01-01-2018 13:00,444
MK,01-01-2018 13:00,970
NL,01-01-2018 13:00,12869
NO,01-01-2018 13:00,18453.96
PL,01-01-2018 13:00,14875
PT,01-01-2018 13:00,4610
RO,01-01-2018 13:00,5035
RS,01-01-2018 13:00,4697
SE,01-01-2018 13:00,17940
SI,01-01-2018 13:00,1350
SK,01-01-2018 13:00,2995.06
TR,01-01-2018 13:00,29229.75
AL,01-01-2018 14:00,967.45
AT,01-01-2018 14:00,7700
BA,01-01-2018 14:00,1537
BE,01-01-2018 14:00,8791
BG,01-01-2018 14:00,3691.44
CH,01-01-2018 14:00,7461
CY,01-01-2018 14:00,410
CZ,01-01-2018 14:00,6612
DE,01-01-2018 14:00,48489.97
DK,01-01-2018 14:00,4005.2
EE,01-01-2018 14:00,1002.9
ES,01-01-2018 14:00,22598
FI,01-01-2018 14:00,11022.25
FR,01-01-2018 14:00,54284
GB,01-01-2018 14:00,42320.37
GR,01-01-2018 14:00,5205.81
HR,01-01-2018 14:00,1870
HU,01-01-2018 14:00,4230.45
IE,01-01-2018 14:00,3341.06
IS,01-01-2018 14:00,2146.49
IT,01-01-2018 14:00,26030
LT,01-01-2018 14:00,1312
LU,01-01-2018 14:00,518.1
LV,01-01-2018 14:00,817
ME,01-01-2018 14:00,446
MK,01-01-2018 14:00,969
NL,01-01-2018 14:00,12967
NO,01-01-2018 14:00,18638.7
PL,01-01-2018 14:00,14975
PT,01-01-2018 14:00,4555
RO,01-01-2018 14:00,5271
RS,01-01-2018 14:00,4740
SE,01-01-2018 14:00,18464
SI,01-01-2018 14:00,1345
SK,01-01-2018 14:00,2961.26
TR,01-01-2018 14:00,29838.46
AL,01-01-2018 15:00,1010.77
AT,01-01-2018 15:00,8181
BA,01-01-2018 15:00,1602
BE,01-01-2018 15:00,8901
BG,01-01-2018 15:00,4242.66
CH,01-01-2018 15:00,7727
CY,01-01-2018 15:00,455
CZ,01-01-2018 15:00,6852
DE,01-01-2018 15:00,50593.48
DK,01-01-2018 15:00,4204.8
EE,01-01-2018 15:00,1010.8
ES,01-01-2018 15:00,22134
FI,01-01-2018 15:00,11021.11
FR,01-01-2018 15:00,55347
GB,01-01-2018 15:00,43532.53
GR,01-01-2018 15:00,5562.14
HR,01-01-2018 15:00,2027
HU,01-01-2018 15:00,4503.36
IE,01-01-2018 15:00,3297.79
IS,01-01-2018 15:00,2148.67
IT,01-01-2018 15:00,27409
LT,01-01-2018 15:00,1371
LU,01-01-2018 15:00,533.8
LV,01-01-2018 15:00,840
ME,01-01-2018 15:00,465
MK,01-01-2018 15:00,954
NL,01-01-2018 15:00,13432
NO,01-01-2018 15:00,18820.84
PL,01-01-2018 15:00,16180
PT,01-01-2018 15:00,4584
RO,01-01-2018 15:00,5945
RS,01-01-2018 15:00,5061
SE,01-01-2018 15:00,18882
SI,01-01-2018 15:00,1385
SK,01-01-2018 15:00,3066.84
TR,01-01-2018 15:00,31652.85
AL,01-01-2018 16:00,1064.88
AT,01-01-2018 16:00,8445
BA,01-01-2018 16:00,1665
BE,01-01-2018 16:00,9272
BG,01-01-2018 16:00,4507.42
CH,01-01-2018 16:00,7939
CY,01-01-2018 16:00,560
CZ,01-01-2018 16:00,6855
DE,01-01-2018 16:00,54077.56
DK,01-01-2018 16:00,4493.3
EE,01-01-2018 16:00,998.9
ES,01-01-2018 16:00,22593
FI,01-01-2018 16:00,11074.88
FR,01-01-2018 16:00,59937
GB,01-01-2018 16:00,47501.41
GR,01-01-2018 16:00,6142.83
HR,01-01-2018 16:00,2127
HU,01-01-2018 16:00,4607.63
IE,01-01-2018 16:00,3486.5
IS,01-01-2018 16:00,2192.41
IT,01-01-2018 16:00,30612
LT,01-01-2018 16:00,1397
LU,01-01-2018 16:00,565.2
LV,01-01-2018 16:00,843
ME,01-01-2018 16:00,476
MK,01-01-2018 16:00,966
NL,01-01-2018 16:00,14296
NO,01-01-2018 16:00,18723.54
PL,01-01-2018 16:00,16547
PT,01-01-2018 16:00,5063
RO,01-01-2018 16:00,6139
RS,01-01-2018 16:00,5228
SE,01-01-2018 16:00,18964
SI,01-01-2018 16:00,1439
SK,01-01-2018 16:00,3125.36
TR,01-01-2018 16:00,33211.3
AL,01-01-2018 17:00,1056.56
AT,01-01-2018 17:00,8379
BA,01-01-2018 17:00,1638
BE,01-01-2018 17:00,9291
BG,01-01-2018 17:00,4445.87
CH,01-01-2018 17:00,7070
CY,01-01-2018 17:00,591
CZ,01-01-2018 17:00,6848
DE,01-01-2018 17:00,54898.81
DK,01-01-2018 17:00,4384.9
EE,01-01-2018 17:00,977.2
ES,01-01-2018 17:00,25061
FI,01-01-2018 17:00,11064.12
FR,01-01-2018 17:00,62502
GB,01-01-2018 17:00,49544.57
GR,01-01-2018 17:00,6233.72
HR,01-01-2018 17:00,2150
HU,01-01-2018 17:00,4587.77
IE,01-01-2018 17:00,3821.46
IS,01-01-2018 17:00,2210.87
IT,01-01-2018 17:00,31714
LT,01-01-2018 17:00,1381
LU,01-01-2018 17:00,576.9
LV,01-01-2018 17:00,833
ME,01-01-2018 17:00,477
MK,01-01-2018 17:00,952
NL,01-01-2018 17:00,14227
NO,01-01-2018 17:00,18550.57
PL,01-01-2018 17:00,16559
PT,01-01-2018 17:00,5615
RO,01-01-2018 17:00,6119
RS,01-01-2018 17:00,5205
SE,01-01-2018 17:00,18724
SI,01-01-2018 17:00,1456
SK,01-01-2018 17:00,3155.2
TR,01-01-2018 17:00,33116.79
AL,01-01-2018 18:00,1030.24
AT,01-01-2018 18:00,7950
BA,01-01-2018 18:00,1621
BE,01-01-2018 18:00,9217
BG,01-01-2018 18:00,4298.34
CH,01-01-2018 18:00,7259
CY,01-01-2018 18:00,597
CZ,01-01-2018 18:00,6894
DE,01-01-2018 18:00,53466.02
DK,01-01-2018 18:00,4138.2
EE,01-01-2018 18:00,946.5
ES,01-01-2018 18:00,26375
FI,01-01-2018 18:00,10849.56
FR,01-01-2018 18:00,62161
GB,01-01-2018 18:00,47686.23
GR,01-01-2018 18:00,6199.06
HR,01-01-2018 18:00,2172
HU,01-01-2018 18:00,4585.65
IE,01-01-2018 18:00,3766.87
IS,01-01-2018 18:00,2222.58
IT,01-01-2018 18:00,32121
LT,01-01-2018 18:00,1345
LU,01-01-2018 18:00,567
LV,01-01-2018 18:00,817
ME,01-01-2018 18:00,475
MK,01-01-2018 18:00,956
NL,01-01-2018 18:00,13982
NO,01-01-2018 18:00,18317.51
PL,01-01-2018 18:00,16712
PT,01-01-2018 18:00,5750
RO,01-01-2018 18:00,6047
RS,01-01-2018 18:00,5186
SE,01-01-2018 18:00,18444
SI,01-01-2018 18:00,1486
SK,01-01-2018 18:00,3137.91
TR,01-01-2018 18:00,32513.89
AL,01-01-2018 19:00,997.33
AT,01-01-2018 19:00,7508
BA,01-01-2018 19:00,1585
BE,01-01-2018 19:00,9020
BG,01-01-2018 19:00,4103.81
CH,01-01-2018 19:00,6786
CY,01-01-2018 19:00,595
CZ,01-01-2018 19:00,6774
DE,01-01-2018 19:00,50918.38
DK,01-01-2018 19:00,3897
EE,01-01-2018 19:00,912.3
ES,01-01-2018 19:00,27243
FI,01-01-2018 19:00,10465.52
FR,01-01-2018 19:00,60140
GB,01-01-2018 19:00,45046.7
GR,01-01-2018 19:00,6062.87
HR,01-01-2018 19:00,2152
HU,01-01-2018 19:00,4486.96
IE,01-01-2018 19:00,3587.08
IS,01-01-2018 19:00,2217.74
IT,01-01-2018 19:00,31594
LT,01-01-2018 19:00,1279
LU,01-01-2018 19:00,542.1
LV,01-01-2018 19:00,795
ME,01-01-2018 19:00,472
MK,01-01-2018 19:00,946
NL,01-01-2018 19:00,13569
NO,01-01-2018 19:00,18121.33
PL,01-01-2018 19:00,16372
PT,01-01-2018 19:00,5785
RO,01-01-2018 19:00,5797
RS,01-01-2018 19:00,5142
SE,01-01-2018 19:00,17962
SI,01-01-2018 19:00,1439
SK,01-01-2018 19:00,3107.53
TR,01-01-2018 19:00,31854.4
AL,01-01-2018 20:00,922.1
AT,01-01-2018 20:00,7138
BA,01-01-2018 20:00,1518
BE,01-01-2018 20:00,8818
BG,01-01-2018 20:00,4030.79
CH,01-01-2018 20:00,7381
CY,01-01-2018 20:00,587
CZ,01-01-2018 20:00,6459
DE,01-01-2018 20:00,49248.16
DK,01-01-2018 20:00,3652.6
EE,01-01-2018 20:00,870.1
ES,01-01-2018 20:00,27443
FI,01-01-2018 20:00,10731.69
FR,01-01-2018 20:00,58050
GB,01-01-2018 20:00,42220.09
GR,01-01-2018 20:00,5725.17
HR,01-01-2018 20:00,2148
HU,01-01-2018 20:00,4334.94
IE,01-01-2018 20:00,3423.16
IS,01-01-2018 20:00,2209.47
IT,01-01-2018 20:00,30391
LT,01-01-2018 20:00,1192
LU,01-01-2018 20:00,520.3
LV,01-01-2018 20:00,735
ME,01-01-2018 20:00,462
MK,01-01-2018 20:00,931
NL,01-01-2018 20:00,13005
NO,01-01-2018 20:00,17774.47
PL,01-01-2018 20:00,15464
PT,01-01-2018 20:00,5661
RO,01-01-2018 20:00,5527
RS,01-01-2018 20:00,5053
SE,01-01-2018 20:00,17307
SI,01-01-2018 20:00,1386
SK,01-01-2018 20:00,3010.61
TR,01-01-2018 20:00,31576.27
AL,01-01-2018 21:00,828.39
AT,01-01-2018 21:00,7128
BA,01-01-2018 21:00,1447
BE,01-01-2018 21:00,9119
BG,01-01-2018 21:00,3776.07
CH,01-01-2018 21:00,7649
CY,01-01-2018 21:00,560
CZ,01-01-2018 21:00,6322
DE,01-01-2018 21:00,48520.43
DK,01-01-2018 21:00,3404.1
EE,01-01-2018 21:00,819.6
ES,01-01-2018 21:00,26817
FI,01-01-2018 21:00,10541.76
FR,01-01-2018 21:00,61037
GB,01-01-2018 21:00,39066.38
GR,01-01-2018 21:00,5418.23
HR,01-01-2018 21:00,2049
HU,01-01-2018 21:00,4113.54
IE,01-01-2018 21:00,3289.66
IS,01-01-2018 21:00,2197.62
IT,01-01-2018 21:00,28409
LT,01-01-2018 21:00,1097
LU,01-01-2018 21:00,524.3
LV,01-01-2018 21:00,669
ME,01-01-2018 21:00,445
MK,01-01-2018 21:00,1033
NL,01-01-2018 21:00,12370
NO,01-01-2018 21:00,17197.57
PL,01-01-2018 21:00,14828
PT,01-01-2018 21:00,5459
RO,01-01-2018 21:00,5266
RS,01-01-2018 21:00,5047
SE,01-01-2018 21:00,16822
SI,01-01-2018 21:00,1294
SK,01-01-2018 21:00,2901.5
TR,01-01-2018 21:00,30232.78
